 ! Fichier pour convertir les lettres grecques de Beta-Code en Utf-8 et réciproquement				
 ! Dans le sens Beta-Code --> utf-8, l'ordre a son importance :				
 ! - les lettres les plus décorées passent devant  !				
 ! Pour le sens utf-8 --> betacode, j'ai gardé les alpha […] with tonos,				
 ! qu'il ne faut pas utiliser (remplacés par alpha […] with oxia).				
 !				
 ! Philippe, juin 2014.				
 !				
*(e	U+1F19	Ἑ	225188153	GREEK CAPITAL LETTER EPSILON WITH DASIA
h)\	U+1F22	ἢ	225188162	GREEK SMALL LETTER ETA WITH PSILI AND VARIA
h(\	U+1F23	ἣ	225188163	GREEK SMALL LETTER ETA WITH DASIA AND VARIA
h)/	U+1F24	ἤ	225188164	GREEK SMALL LETTER ETA WITH PSILI AND OXIA
h(/	U+1F25	ἥ	225188165	GREEK SMALL LETTER ETA WITH DASIA AND OXIA
h)=	U+1F26	ἦ	225188166	GREEK SMALL LETTER ETA WITH PSILI AND PERISPOMENI
h(=	U+1F27	ἧ	225188167	GREEK SMALL LETTER ETA WITH DASIA AND PERISPOMENI
*)h	U+1F28	Ἠ	225188168	GREEK CAPITAL LETTER ETA WITH PSILI
*(h	U+1F29	Ἡ	225188169	GREEK CAPITAL LETTER ETA WITH DASIA
i)\	U+1F32	ἲ	225188178	GREEK SMALL LETTER IOTA WITH PSILI AND VARIA
i(\	U+1F33	ἳ	225188179	GREEK SMALL LETTER IOTA WITH DASIA AND VARIA
i)/	U+1F34	ἴ	225188180	GREEK SMALL LETTER IOTA WITH PSILI AND OXIA
i(/	U+1F35	ἵ	225188181	GREEK SMALL LETTER IOTA WITH DASIA AND OXIA
i)=	U+1F36	ἶ	225188182	GREEK SMALL LETTER IOTA WITH PSILI AND PERISPOMENI
i(=	U+1F37	ἷ	225188183	GREEK SMALL LETTER IOTA WITH DASIA AND PERISPOMENI
*)i	U+1F38	Ἰ	225188184	GREEK CAPITAL LETTER IOTA WITH PSILI
*(i	U+1F39	Ἱ	225188185	GREEK CAPITAL LETTER IOTA WITH DASIA
o)\	U+1F42	ὂ	225189130	GREEK SMALL LETTER OMICRON WITH PSILI AND VARIA
o(\	U+1F43	ὃ	225189131	GREEK SMALL LETTER OMICRON WITH DASIA AND VARIA
o)/	U+1F44	ὄ	225189132	GREEK SMALL LETTER OMICRON WITH PSILI AND OXIA
o(/	U+1F45	ὅ	225189133	GREEK SMALL LETTER OMICRON WITH DASIA AND OXIA
*)o	U+1F48	Ὀ	225189136	GREEK CAPITAL LETTER OMICRON WITH PSILI
*(o	U+1F49	Ὁ	225189137	GREEK CAPITAL LETTER OMICRON WITH DASIA
u)\	U+1F52	ὒ	225189146	GREEK SMALL LETTER UPSILON WITH PSILI AND VARIA
u(\	U+1F53	ὓ	225189147	GREEK SMALL LETTER UPSILON WITH DASIA AND VARIA
u)/	U+1F54	ὔ	225189148	GREEK SMALL LETTER UPSILON WITH PSILI AND OXIA
u(/	U+1F55	ὕ	225189149	GREEK SMALL LETTER UPSILON WITH DASIA AND OXIA
u)=	U+1F56	ὖ	225189150	GREEK SMALL LETTER UPSILON WITH PSILI AND PERISPOMENI
u(=	U+1F57	ὗ	225189151	GREEK SMALL LETTER UPSILON WITH DASIA AND PERISPOMENI
*(u	U+1F59	Ὑ	225189153	GREEK CAPITAL LETTER UPSILON WITH DASIA
w)\	U+1F62	ὢ	225189162	GREEK SMALL LETTER OMEGA WITH PSILI AND VARIA
w(\	U+1F63	ὣ	225189163	GREEK SMALL LETTER OMEGA WITH DASIA AND VARIA
w)/	U+1F64	ὤ	225189164	GREEK SMALL LETTER OMEGA WITH PSILI AND OXIA
w(/	U+1F65	ὥ	225189165	GREEK SMALL LETTER OMEGA WITH DASIA AND OXIA
w)=	U+1F66	ὦ	225189166	GREEK SMALL LETTER OMEGA WITH PSILI AND PERISPOMENI
w(=	U+1F67	ὧ	225189167	GREEK SMALL LETTER OMEGA WITH DASIA AND PERISPOMENI
*)w	U+1F68	Ὠ	225189168	GREEK CAPITAL LETTER OMEGA WITH PSILI
*(w	U+1F69	Ὡ	225189169	GREEK CAPITAL LETTER OMEGA WITH DASIA
